,country_code,Indicator,Year,value
0,ABW,Consumption,2015,2328514354.43757
1,ABW,Exports,2015,2158563998.46023
2,ABW,GDP,1986,1079459785.07538
3,ABW,GDP,1987,1253019985.81299
4,ABW,GDP,1988,1486691280.4646
5,ABW,GDP,1989,1667024562.2066
6,ABW,GDP,1990,1733062101.99945
7,ABW,GDP,1991,1871063627.46399
8,ABW,GDP,1992,1981126193.7854
9,ABW,GDP,1993,2125900800.25433
10,ABW,GDP,1994,2300307636.11749
11,ABW,GDP,1995,2358899781.95274
12,ABW,GDP,1996,2386871336.54821
13,ABW,GDP,1997,2555071151.65191
14,ABW,GDP,1998,2605967807.51348
15,ABW,GDP,1999,2638230786.23333
16,ABW,GDP,2000,2839173960.82712
17,ABW,GDP,2001,2754814813.59982
18,ABW,GDP,2002,2664631917.33441
19,ABW,GDP,2003,2717272980.20866
20,ABW,GDP,2004,2932251756.57732
21,ABW,GDP,2005,2967859536.68768
22,ABW,GDP,2006,2999040092.39951
23,ABW,GDP,2007,3053029591.03822
24,ABW,GDP,2008,3050260247.54255
25,ABW,GDP,2009,2729380539.81212
26,ABW,GDP,2010,2628802064.83063
27,ABW,GDP,2011,2719392023.2644
28,ABW,GDP,2012,2682140077.74023
29,ABW,GDP,2013,2794742549.43829
30,ABW,GDP,2014,2803126777.08661
31,ABW,GDP,2015,2962905027.93296
32,ABW,GDP,2016,3025126021.24334
33,ABW,GDP,2017,3085628514.57589
34,ABW,Imports,2015,2162351876.27325
35,ABW,Population,1960,54208.0
36,ABW,Population,1961,55434.0
37,ABW,Population,1962,56234.0
38,ABW,Population,1963,56699.0
39,ABW,Population,1964,57029.0
40,ABW,Population,1965,57357.0
41,ABW,Population,1966,57702.0
42,ABW,Population,1967,58044.0
43,ABW,Population,1968,58377.0
44,ABW,Population,1969,58734.0
45,ABW,Population,1970,59070.0
46,ABW,Population,1971,59442.0
47,ABW,Population,1972,59849.0
48,ABW,Population,1973,60236.0
49,ABW,Population,1974,60527.0
50,ABW,Population,1975,60653.0
51,ABW,Population,1976,60586.0
52,ABW,Population,1977,60366.0
53,ABW,Population,1978,60102.0
54,ABW,Population,1979,59972.0
55,ABW,Population,1980,60097.0
56,ABW,Population,1981,60561.0
57,ABW,Population,1982,61341.0
58,ABW,Population,1983,62213.0
59,ABW,Population,1984,62826.0
60,ABW,Population,1985,63024.0
61,ABW,Population,1986,62645.0
62,ABW,Population,1987,61838.0
63,ABW,Population,1988,61072.0
64,ABW,Population,1989,61033.0
65,ABW,Population,1990,62152.0
66,ABW,Population,1991,64623.0
67,ABW,Population,1992,68240.0
68,ABW,Population,1993,72495.0
69,ABW,Population,1994,76705.0
70,ABW,Population,1995,80324.0
71,ABW,Population,1996,83211.0
72,ABW,Population,1997,85450.0
73,ABW,Population,1998,87280.0
74,ABW,Population,1999,89009.0
75,ABW,Population,2000,90866.0
76,ABW,Population,2001,92892.0
77,ABW,Population,2002,94992.0
78,ABW,Population,2003,97016.0
79,ABW,Population,2004,98744.0
80,ABW,Population,2005,100028.0
81,ABW,Population,2006,100830.0
82,ABW,Population,2007,101226.0
83,ABW,Population,2008,101362.0
84,ABW,Population,2009,101452.0
85,ABW,Population,2010,101665.0
86,ABW,Population,2011,102050.0
87,ABW,Population,2012,102565.0
88,ABW,Population,2013,103165.0
89,ABW,Population,2014,103776.0
90,ABW,Population,2015,104339.0
91,ABW,Population,2016,104865.0
92,ABW,Population,2017,105361.0
93,ABW,Population,2018,105846.0
94,ABW,Population,2019,106310.0
95,ABW,Population,2020,106766.0
96,AFE,Consumption,1990,302175946931.669
97,AFE,Consumption,1991,307390776409.012
98,AFE,Consumption,1992,308573437419.682
99,AFE,Consumption,1993,314957439769.539
100,AFE,Consumption,1994,322843085573.697
101,AFE,Consumption,1995,335785877384.115
102,AFE,Consumption,1996,347692722173.986
103,AFE,Consumption,1997,359489820214.057
104,AFE,Consumption,1998,369928677364.429
105,AFE,Consumption,1999,377567631695.396
106,AFE,Consumption,2000,387117131288.359
107,AFE,Consumption,2001,400724892521.96
108,AFE,Consumption,2002,413125638576.565
109,AFE,Consumption,2003,432921161866.247
110,AFE,Consumption,2004,457154055277.666
111,AFE,Consumption,2005,482385739265.109
112,AFE,Consumption,2006,517168302872.951
113,AFE,Consumption,2007,547035408383.415
114,AFE,Consumption,2008,564399532094.476
115,AFE,Consumption,2009,577575177454.975
116,AFE,Consumption,2010,609059746198.902
117,AFE,Consumption,2011,636025142171.774
118,AFE,Consumption,2012,665209245064.064
119,AFE,Consumption,2013,696372713751.697
120,AFE,Consumption,2014,717980471471.811
121,AFE,Consumption,2015,743971681937.576
122,AFE,Consumption,2016,757508070322.212
